alter v.改变，改动，变更
burst vi./n.突然发生，爆裂
dispose vi.除掉；处理(of)
consume v.消耗，耗尽
split v.劈开 a.裂开的
spill v.溢出，倒出
slip v.滑动，忽略
slide v.滑落 n.滑动
bacteria n.细菌
budget n.预算
candidate n.候选人
campus n.校园
liberal a.慷慨的；自由的
transform v.转变，变革
transmit v.传播，传递
transport v.运输 n.运输
shift v.转移；转变
vary v.变化，使多样化
vanish vi.消失
swallow v.吞下
suspicion n.怀疑，疑心
mild a.温和的
nuisance n.损害，妨害
accelerate vt.加速，促进
absolute a.绝对的，完全的
boundary n.分界线，边界
brake n.刹车 v.刹住
catalog n.目录
vague a.模糊的，不明确的
vain n.徒劳，白费
extinct a.绝灭的，熄灭的
extraordinary a.不平常的，非凡的
extreme a.极度的
agent n.代理人，代理商；动因
alcohol n.酒精
appeal n./vi.呼吁，恳求
appreciate vt.重视，赏识，欣赏
approve v.赞成，同意，批准
stimulate vt.刺激，激励
acquire vt.取得，获得；学到
accomplish vt.完成，到达；实行
network n.网状物
tide n.潮汐；潮流
trace vt.追踪 n.痕迹，踪迹
wander vi.漫游，闲逛
preserve v.保护，保存，保持
abuse v.滥用，虐待；谩骂
academic a.学术的；高等院校
academy n.专科院校；学会
battery n.电池（组）
barrier n.障碍；栅栏
cargo n.货物
career n.生涯，职业
vessel n.船舶；容器，器皿；血管
oblige v.迫使，责成；使感激
obscure a.阴暗，模糊
extent n.程度，范围
exterior a.外部的，外表
external a.外部的，外在的
petrol n.汽油
petroleum n.石油
delay v.推迟，耽搁
decay vi.腐烂，衰败
decent a.体面的，正派的
dose n.剂量，一剂
draft n.草稿，草案
drift v.漂流
drown vi.溺水，淹死
dump v.倾倒，倾销
estate n.财产，地产
exceed vt.超过，超出
excess n.过量，过剩
expel v.驱逐，开除
expend vt.花费，消耗
expense n.开销，费用
explode v.爆炸，爆发
explore v.勘探，探究
export n./v.出口
import n./v.进口
facility n.设施，便利
fade vi.褪色，衰退
fail v.失败，未能
faint a.微弱的，模糊的
fair a.公平的；晴朗的
faith n.信仰，信任
fake n.假货 a.伪造的
fall vi.落下，跌倒
fame n.名声，名望
fate n.命运
fatigue n.疲劳，疲乏
fault n.过错，故障
